team,penalty,game,opponent,player,position,week,year,penaltyindex
CIN,Unsportsmanlike Conduct,09/13/2015,Oakland,G.Iloka,SS,1,2015,CIN-2015-0
CIN,Unnecessary Roughness,09/13/2015,Oakland,A.Jones,CB,1,2015,CIN-2015-1
CIN,Offensive Offside,09/13/2015,Oakland,R.Burkhead,RB,1,2015,CIN-2015-2
CIN,Offensive Holding,09/13/2015,Oakland,R.Bodine,C,1,2015,CIN-2015-3
CIN,Delay of Game,09/13/2015,Oakland,K.Huber,P,1,2015,CIN-2015-4
CIN,Taunting,09/13/2015,Oakland,D.Kirkpatrick,CB,1,2015,CIN-2015-5
CIN,Defensive Offside,09/20/2015,San Diego,M.Johnson,DE,2,2015,CIN-2015-6
CIN,Offensive Holding,09/20/2015,San Diego,R.Hewitt,TE,2,2015,CIN-2015-7
CIN,Illegal Block Above the Waist,09/20/2015,San Diego,G.Bernard,RB,2,2015,CIN-2015-8
CIN,Offensive Holding,09/20/2015,San Diego,A.Whitworth,T,2,2015,CIN-2015-9
CIN,Neutral Zone Infraction,09/20/2015,San Diego,R.Maualuga,MLB,2,2015,CIN-2015-10
CIN,Defensive Holding,09/20/2015,San Diego,D.Kirkpatrick,CB,2,2015,CIN-2015-11
CIN,Offensive Holding,09/20/2015,San Diego,J.Shaw,WR,2,2015,CIN-2015-12
CIN,Offensive Pass Interference,09/20/2015,San Diego,A.Green,WR,2,2015,CIN-2015-13
CIN,Offensive Holding,09/20/2015,San Diego,T.Kroft,TE,2,2015,CIN-2015-14
CIN,False Start,09/20/2015,San Diego,M.Jones,WR,2,2015,CIN-2015-15
CIN,Illegal Contact,09/20/2015,San Diego,D.Kirkpatrick,CB,2,2015,CIN-2015-16
CIN,Illegal Formation,09/27/2015,Baltimore,A.Green,WR,3,2015,CIN-2015-17
CIN,Delay of Game,09/27/2015,Baltimore,A.Dalton,QB,3,2015,CIN-2015-18
CIN,Unnecessary Roughness,09/27/2015,Baltimore,C.Dunlap,DE,3,2015,CIN-2015-19
CIN,Ineligible Downfield Pass,09/27/2015,Baltimore,R.Bodine,C,3,2015,CIN-2015-20
CIN,Illegal Contact,09/27/2015,Baltimore,D.Kirkpatrick,CB,3,2015,CIN-2015-21
CIN,Offensive Pass Interference,09/27/2015,Baltimore,A.Green,WR,3,2015,CIN-2015-22
CIN,Delay of Game,09/27/2015,Baltimore,A.Dalton,QB,3,2015,CIN-2015-23
CIN,Defensive Holding,09/27/2015,Baltimore,C.Dunlap,DE,3,2015,CIN-2015-24
CIN,Roughing the Passer,09/27/2015,Baltimore,C.Carter,LB,3,2015,CIN-2015-25
CIN,Offensive Holding,09/27/2015,Baltimore,R.Bodine,C,3,2015,CIN-2015-26
CIN,False Start,09/27/2015,Baltimore,T.Eifert,TE,3,2015,CIN-2015-27
CIN,Neutral Zone Infraction,10/04/2015,Kansas City,M.Johnson,DE,4,2015,CIN-2015-28
CIN,Illegal Shift,10/04/2015,Kansas City,A.Smith,T,4,2015,CIN-2015-29
CIN,Unnecessary Roughness,10/04/2015,Kansas City,R.Bodine,C,4,2015,CIN-2015-30
CIN,Unnecessary Roughness,10/04/2015,Kansas City,D.Peko,DT,4,2015,CIN-2015-31
CIN,Illegal Block Above the Waist,10/04/2015,Kansas City,J.Shaw,WR,4,2015,CIN-2015-32
CIN,Offensive Holding,10/04/2015,Kansas City,K.Zeitler,G,4,2015,CIN-2015-33
CIN,Offensive Holding,10/04/2015,Kansas City,K.Zeitler,G,4,2015,CIN-2015-34
CIN,False Start,10/04/2015,Kansas City,M.Jones,WR,4,2015,CIN-2015-35
CIN,Defensive Holding,10/04/2015,Kansas City,D.Kirkpatrick,CB,4,2015,CIN-2015-36
CIN,False Start,10/04/2015,Kansas City,A.Smith,T,4,2015,CIN-2015-37
CIN,Offensive Holding,10/04/2015,Kansas City,A.Whitworth,T,4,2015,CIN-2015-38
CIN,Delay of Game,10/04/2015,Kansas City,K.Huber,P,4,2015,CIN-2015-39
CIN,Offensive Holding,10/11/2015,Seattle,T.Kroft,TE,5,2015,CIN-2015-40
CIN,Offensive Holding,10/11/2015,Seattle,A.Whitworth,T,5,2015,CIN-2015-41
CIN,False Start,10/11/2015,Seattle,C.Boling,G,5,2015,CIN-2015-42
CIN,Defensive Offside,10/11/2015,Seattle,D.Peko,DT,5,2015,CIN-2015-43
CIN,Illegal Block Above the Waist,10/11/2015,Seattle,P.Dawson,OLB,5,2015,CIN-2015-44
CIN,Offensive Holding,10/11/2015,Seattle,A.Smith,T,5,2015,CIN-2015-45
CIN,Invalid Fair Catch Signal,10/11/2015,Seattle,A.Jones,CB,5,2015,CIN-2015-46
CIN,Neutral Zone Infraction,10/18/2015,Buffalo,W.Gilberry,DE,6,2015,CIN-2015-47
CIN,Delay of Game,10/18/2015,Buffalo,A.Dalton,QB,6,2015,CIN-2015-48
CIN,Defensive Pass Interference,11/01/2015,Pittsburgh,D.Kirkpatrick,CB,8,2015,CIN-2015-49
CIN,False Start,11/01/2015,Pittsburgh,A.Smith,T,8,2015,CIN-2015-50
CIN,False Start,11/01/2015,Pittsburgh,A.Whitworth,T,8,2015,CIN-2015-51
CIN,Unnecessary Roughness,11/01/2015,Pittsburgh,A.Jones,CB,8,2015,CIN-2015-52
